size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,mostQueried,resourceFromUser
160000,406,188,171,0,16,0,937
160000,235,187,172,0,15,0,1047
160000,406,172,195,0,15,0,1156
165000,391,187,188,0,15,0,1001
165000,219,188,187,16,0,0,1328
165000,328,172,187,16,0,0,1281
165000,391,172,187,0,0,0,1172
165000,328,187,188,0,0,0,1297
165000,391,172,187,0,16,0,1187
165000,406,188,187,0,16,0,1062
165000,157,187,188,31,15,0,1110
165000,422,187,188,6,3,0,1000
165000,406,187,172,16,0,0,1141
170000,406,172,203,16,0,0,1391
170000,391,187,187,16,0,0,1281
170000,423,187,188,15,0,0,1172
170000,406,188,187,0,0,0,1093
170000,406,203,187,0,0,0,1219
170000,390,188,203,16,0,0,1124
170000,391,188,187,31,32,0,1171
170000,422,187,204,15,0,0,1344
170000,391,187,203,15,0,16,1016
170000,407,187,188,0,15,0,1079
175000,390,188,187,16,15,0,1422
175000,406,204,203,0,0,0,1187
175000,422,203,203,0,0,16,1062
175000,172,188,203,16,0,0,1062
175000,406,203,203,16,0,0,1140
175000,453,187,188,0,15,0,1079
175000,406,203,188,16,0,0,1437
175000,438,188,203,15,0,0,1250
175000,406,188,203,0,0,0,1359
175000,406,187,204,31,0,0,1078
180000,406,203,203,16,5,1,1228
180000,343,203,203,16,15,0,1266
180000,351,203,203,9,15,16,1641
180000,234,188,203,0,16,0,1421
180000,312,203,188,16,16,0,1109
180000,234,203,203,0,15,0,1453
180000,422,203,204,0,15,0,1312
180000,359,203,219,0,0,0,1188
180000,422,187,203,0,15,0,1297
180000,407,204,203,15,0,0,1437
185000,359,203,203,0,16,0,1156
185000,296,203,219,16,0,0,1578
185000,406,203,219,15,0,0,1438
185000,422,203,219,16,15,0,1406
185000,250,204,203,0,16,0,1499
185000,421,203,219,0,0,16,1375
185000,422,203,203,15,0,0,1266
185000,359,203,203,15,0,0,1141
185000,438,203,218,0,0,0,1188
185000,406,218,204,16,0,0,1328
190000,343,203,219,0,16,0,1578
190000,422,203,219,0,16,0,1468
190000,360,219,218,0,15,0,1328
190000,437,218,219,16,15,0,1360
190000,430,203,219,8,0,0,1421
190000,360,219,219,0,0,0,1296
190000,453,219,234,15,16,0,1208
190000,375,251,234,0,0,0,1578
190000,406,219,219,31,0,0,1187
190000,359,203,218,0,16,0,1234
195000,312,219,218,16,0,0,1344
195000,453,234,219,0,15,0,1219
195000,266,219,234,16,0,0,1781
195000,235,219,219,15,0,0,1234
195000,344,219,218,0,0,0,1593
195000,453,219,218,0,16,0,1459
195000,422,218,219,0,16,0,1281
